brand,fuel_type,transmission,ext_col,int_col,Age,horsepower,engine_size,num_cylinders,accident_encoded,clean_title_encoded,log_milage,log_price
14.0,1.0,0.0,0.0,0.0,11,300.0,3.7,6.0,1,1,10.839600519357369,9.239996256883693
19.0,2.0,0.0,6.0,3.0,3,310.0,3.8,6.0,1,1,10.455733391852487,10.545499320981303
27.0,2.0,0.0,1.0,0.0,2,310.0,3.5,6.0,0,0,10.015610153673077,10.90777084654696
20.0,3.0,0.0,0.0,0.0,9,354.0,3.5,6.0,0,1,11.395278670032656,9.648659816955295
3.0,2.0,0.0,9.0,0.0,3,310.0,2.0,4.0,0,0,9.193804403336083,10.46310334047155
0.0,2.0,2.0,8.0,6.0,8,310.0,3.5,6.0,0,0,11.8233323615274,9.602314889901848
3.0,2.0,0.0,1.0,0.0,7,292.0,2.0,6.0,0,1,11.338583982516495,10.34177474101152
4.0,2.0,0.0,4.0,4.0,23,282.0,4.4,6.0,0,1,12.396697137361691,8.895766604056085
27.0,2.0,0.0,0.0,0.0,3,311.0,3.5,6.0,0,1,10.062071249151874,10.643709140482002
52.0,5.0,0.0,0.0,0.0,4,534.0,3.5,6.0,0,1,10.434145214930487,11.155550275917102
26.0,2.0,0.0,9.0,6.0,3,310.0,3.5,6.0,0,0,10.225897085506967,11.210441042970608
2.0,2.0,0.0,8.0,0.0,5,715.0,5.2,6.0,0,1,10.033243075528665,12.125984520158603
53.0,2.0,0.0,10.0,0.0,3,382.0,3.0,6.0,0,1,9.433563920090563,10.887455624298198
28.0,2.0,2.0,0.0,2.0,2,400.0,3.0,6.0,0,1,9.809012024313242,11.034905792929415
21.0,2.0,0.0,8.0,0.0,4,310.0,3.5,6.0,0,0,9.674325928896355,10.778935456339678
26.0,2.0,0.0,9.0,0.0,11,375.0,5.0,6.0,0,1,11.287291314687705,10.30865261563529
36.0,2.0,0.0,3.0,9.0,3,310.0,2.0,4.0,0,1,7.430114138561801,12.429220196836383
11.0,2.0,0.0,0.0,3.0,11,305.0,3.6,6.0,0,1,11.019857896125941,9.729193687429403
39.0,2.0,1.0,6.0,6.0,21,287.0,3.5,6.0,0,1,11.211833885608513,9.305741456739435
21.0,2.0,0.0,4.0,0.0,6,550.0,5.0,6.0,0,1,10.470249176632354,11.13824656087758
16.0,2.0,0.0,4.0,6.0,1,375.0,3.5,6.0,0,0,8.594339400592892,11.002116507732017
9.0,1.0,0.0,1.0,0.0,24,120.0,2.2,6.0,0,1,11.80193915043174,8.412054873292933
4.0,2.0,0.0,9.0,6.0,4,310.0,3.5,6.0,0,0,10.165505603232393,10.560981648381585
14.0,2.0,0.0,8.0,0.0,1,310.0,3.5,6.0,0,1,7.945909598613133,10.976867499653059
